cycle,count,mae-o,mae-w0.25,mae-w0.5,mae-w.75
319,15,0.323857412444,0.271510148264,0.269069744689,0.263543446081
320,15,0.207999078288,0.213583468958,0.206418628198,0.203986355179
321,15,0.156239974117,0.131774847802,0.12913495893,0.148151548196
322,15,0.146395430819,0.141603745558,0.132333691631,0.12689957701
323,15,0.14974582846,0.156750828972,0.168226389493,0.154658362168
324,15,0.136317794183,0.135765079168,0.1435081193,0.153606593855
325,15,0.157902295912,0.150290607797,0.143875965286,0.153105736496
326,15,0.173020937579,0.180935228517,0.191317283877,0.175023394696
327,15,0.408572383586,0.404951446864,0.402270127504,0.442691130337
328,15,0.24934900652,0.232241208751,0.240398006748,0.24256677291
329,15,0.131615442316,0.133225977058,0.130741985972,0.141085606714
330,15,0.155012331346,0.168461941529,0.153542301585,0.162432339154
331,15,0.148650028283,0.154791145838,0.145732455675,0.1458556756
332,15,0.356595797981,0.339339574533,0.318633682881,0.306145649389
333,15,0.465418641328,0.454781024255,0.456115984038,0.458318100004
334,15,0.610785420135,0.575812330556,0.581417376973,0.587175056959
335,15,0.520480070577,0.540967233702,0.511143172567,0.523215398564
